Manufacturer,Type,Codename,Cu/Al strand count (no),Cu/Al strand wire diameter (mm),Steel strand count (no),Steel strand wire diameter (mm),Layer Construction,Cross sectional area (mm�),Nominal overall diameter (mm),Approximate mass (kg/m),Breaking load (kN),Modulus of elasticity (GPa),Coefficient of linear expansion (�10e-6/deg. C),DC resistance at 20 deg. C (ohm/km),AC resistance  at 50Hz 75 deg. C (ohm/km),Inductive reactance to 0.3m at 50 Hz (ohm/km),DC resistance  at 50Hz 75 deg. C (ohm/km),Geometric mean radius (mm),"Continuous current carrying capacity, Rural weathered, Winter night, Still air","Continuous current carrying capacity, Rural weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Rural weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, Still air","Continuous current carrying capacity, Rural weathered, Summer noon, 1m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, Still air","Continuous current carrying capacity, Industrial weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, Still air","Continuous current carrying capacity, Industrial weathered, Summer Noon, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, 2m/s wind"
Olex,AAC,Leo,7,2.50,,,,34.4,7.5,94.3,5.71,65,23,0.833,1.02,0.295,,,123,211,245,95,190,225,132,216,250,88,186,222
Olex,AAC,Leonids,7,2.75,,,,41.6,8.25,113,6.72,65,23,0.689,0.842,0.289,,,140,237,276,107,213,253,150,243,282,99,209,249
Olex,AAC,Libra,7,3.00,,,,49.5,9,135,7.98,65,23,0.579,0.707,0.284,,,157,265,308,119,237,281,169,272,314,110,232,277
Olex,AAC,Mars,7,3.75,,,,77.3,11.3,211,11.8,65,23,0.37,0.452,0.27,,,211,350,408,157,311,369,228,361,417,143,304,364
Olex,AAC,Mercury,7,4.50,,,,111,13.5,304,16.9,65,23,0.258,0.315,0.259,,,269,440,511,196,388,461,292,454,524,176,378,453
Olex,AAC,Moon,7,4.75,,,,124,14.3,339,18.9,65,23,0.232,0.284,0.255,,,289,470,546,209,413,492,314,486,560,188,403,483
Olex,AAC,Neptune,19,3.25,,,,158,16.3,433,24.7,65,23,0.183,0.224,0.244,,,343,548,636,243,479,570,373,568,653,216,465,559
Olex,AAC,Orion,19,3.50,,,,183,17.5,503,28.7,65,23,0.157,0.192,0.24,,,381,603,699,269,525,625,416,626,719,238,510,612
Olex,AAC,Pluto,19,3.75,,,,210,18.8,576,31.9,65,23,0.137,0.168,0.235,,,420,657,762,295,570,679,458,683,784,260,553,665
Olex,AAC,Saturn,37,3.00,,,,262,21,721,42.2,64,23,0.11,0.135,0.227,,,490,755,875,341,651,776,536,786,901,299,630,759
Olex,AAC,Sirius,37,3.25,,,,307,22.8,845,48.2,64,23,0.094,0.116,0.222,,,547,834,975,379,716,854,599,869,1006,331,692,834
Olex,AAC,Taurus,19,4.75,,,,337,23.8,924,51.3,65,23,0.0857,0.105,0.22,,,583,883,1039,402,756,902,639,921,1071,350,730,880
Olex,AAC,Triton,37,3.75,,,,409,26.3,1120,62.2,64,23,0.0706,0.0872,0.213,,,668,997,1190,457,849,1028,733,1042,1228,396,818,1002
Olex,AAC,Uranus,61,3.25,,,,506,29.3,1400,75.2,64,23,0.0572,0.071,0.206,,,773,1137,1377,525,962,1188,850,1191,1422,452,925,1158
Olex,AAC,Ursula,61,3.50,,,,587,31.5,1620,87.3,64,23,0.0493,0.0616,0.201,,,856,1246,1524,578,1049,1314,942,1307,1574,495,1006,1280
Olex,AAC,Venus,61,3.75,,,,673,33.8,1860,97.2,64,23,0.0429,0.0539,0.197,,,941,1356,1674,631,1137,1442,1036,1424,1730,539,1089,1405
Olex,AAAC/1120,Chlorine,7,2.50,,,,34.4,7.5,94.3,8.18,65,23,0.864,1.05,0.295,,,121,207,241,94,187,221,130,212,246,87,183,219
Olex,AAAC/1120,Chromium,7,2.75,,,,41.6,8.25,113,9.91,65,23,0.713,0.866,0.289,,,137,234,272,106,210,249,148,240,277,98,206,246
Olex,AAAC/1120,Fluorine,7,3.00,,,,49.5,9,135,11.8,65,23,0.599,0.728,0.284,,,154,261,303,118,234,277,166,268,309,108,229,273
Olex,AAAC/1120,Helium,7,3.75,,,,77.3,11.3,211,17.6,65,23,0.383,0.465,0.27,,,208,345,401,155,307,364,225,356,410,141,300,358
Olex,AAAC/1120,Hydrogen,7,4.50,,,,111,13.5,304,24.3,65,23,0.266,0.323,0.259,,,265,434,504,194,383,455,288,448,517,74,373,447
Olex,AAAC/1120,Iodine,7,4.75,,,,124,14.3,339,27.1,65,23,0.239,0.291,0.255,,,285,464,539,207,409,486,310,480,553,185,398,477
